标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.0,5000-7000元,其他品牌,轻薄本,上海,未知,1000.0,adol官方旗舰店
华硕无畏Pro15 16 i7笔记本电脑轻薄本商务办公用 学生设计全能本,3293.87,3000-5000元,华硕,轻薄本,广东,广州,600.0,正品华硕电脑商城
2024新款Lenovo联想拯救者Y9000PY7000P满血4060学生笔记本电脑,6178.0,5000-7000元,联想,其他类型,江西,南昌,24.0,拯救者游戏本店
Dell戴尔游匣G15 5530 13代酷睿i7RTX4060独显游戏电竞笔记本电脑156英寸学生设计制图,6193.87,5000-7000元,戴尔,游戏本,江苏,南京,67.0,dell戴尔戴鑫专卖店
LGgram Ultra 25K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,10000-20000元,其他品牌,轻薄本,上海,未知,18.0,LG笔记本旗舰店
Lenovo联想 拯救者 Y9000P 2022 YR9000P2023款设计游戏本电脑,6049.0,5000-7000元,联想,游戏本,江西,南昌,1000.0,拯救者LEGION游戏本商城
Lenovo联想 拯救者 Y7000P I7游戏本R7000PR9000P学生笔记本电脑,2142.87,3000元以下,联想,游戏本,广东,深圳,100.0,品牌笔记本特惠店
华硕天选5Pro 2024 天选4电竞游戏本RTX4060独显高性能笔记本电脑,7379.0,7000-9000元,华硕,游戏本,北京,未知,46.0,贝克汉虎 电竞商城
2024旗舰新品HP惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.0,10000-20000元,惠普,其他类型,广东,广州,68.0,惠普中国官方旗舰店
华硕天选4高性能满血游戏本笔记本电脑RTX4060显卡学生商务电竞本,4687.0,3000-5000元,华硕,游戏本,江西,南昌,36.0,锦诚笔记本商行
Lenovo联想 拯救者 Y9000PY7000P2024款电竞游戏笔记本电脑,7147.0,7000-9000元,联想,游戏本,山东,济南,100.0,赵好人的店
十四代i9RazerBlade雷蛇灵刃16轻薄电竞游戏笔记本电脑DDR5内存RTX4090显卡固态2K屏240Hz高刷OLED屏幕,41052.0,20000元以上,其他品牌,轻薄本,江苏,苏州,5.0,雷蛇官方旗舰店
华硕ROG玩家国度2023款魔霸新锐13代酷睿4060独显游戏笔记本电脑,5299.0,5000-7000元,华硕,游戏本,江西,南昌,37.0,锦诚笔记本商行
官方店联想拯救者 Y7000PR9000PY9000P可选 游戏笔记本电脑,8699.0,7000-9000元,联想,游戏本,北京,未知,400.0,联想直营官方店
Apple苹果 MacBook Pro笔记本Air电脑办公手提剪辑设计游戏学习,994.87,3000元以下,苹果,游戏本,江苏,苏州,1000.0,MBook俱乐部数码
Huawei华为 MateBook E PAKAL0922款23款平板二合一笔记本电脑,2099.0,3000元以下,华为,二合一笔记本,上海,未知,500.0,上海臣胜数码科技
华硕无畏16 pro15 锐龙R7 i7笔记本电脑轻薄本商务办公用设计绘图,3293.87,3000-5000元,华硕,轻薄本,广东,广州,200.0,正品华硕电脑商城
2024新品上市LG gram17AI酷睿Ultra7学习商务办公轻薄本25K LG原厂防,9193.72,9000-10000元,其他品牌,轻薄本,上海,未知,33.0,LG笔记本旗舰店
Lenovo联想ThinkBook16 15 14 14 23 24款 英特尔笔记本电脑,3799.0,3000-5000元,联想,其他类型,江苏,南京,200.0,ThinkPad润亿景店
Hasee神舟 战神Z8 游戏本Z7吃鸡学生3060独显4060笔记本电脑TX9,1048.98,3000元以下,神舟,游戏本,广东,湛江,100.0,严选优品数码a
ROG玩家国度枪神8 plus超竞版13代i9魔霸新锐2024 4090笔记本电脑,10498.0,10000-20000元,玩家国度,其他类型,北京,未知,500.0,华硕游戏本自营店
机械革命 蛟龙16PRO 酷睿i712700H 16英寸笔记本电脑RTX4060显卡,3393.87,3000-5000元,机械革命,其他类型,广东,湛江,23.0,广州烽火数码商城
外星人ALIENWARE x14 R2 14英寸高性能轻薄本 游戏电竞笔记本电脑,14999.0,10000-20000元,外星人,轻薄本,北京,未知,2.0,外星人长虹佳华专卖店
MECHREVO机械革命 耀世15Pro i714650HX4060 旷世极光Pro电脑,4688.0,3000-5000元,机械革命,其他类型,四川,成都,700.0,游戏本之家总店
Dell戴尔游匣G1512代i7电竞游戏3060显卡2023款学生笔记本电脑,3599.0,3000-5000元,戴尔,游戏本,湖北,武汉,500.0,涵宇数码科技
MECHREVO机械革命极光S极光15pro酷睿i713620HRTX40系独显本,4988.0,3000-5000元,机械革命,其他类型,河南,郑州,100.0,百补游戏本直销店
