标题,价格,省份,城市,销量,店铺
高性能AI超轻薄本笔记本电脑 AMD锐龙7 14英寸学生商务官方旗舰店,5299.00,上海,未知,1000+,adol官方旗舰店
华硕无畏Pro15 16 i7笔记本电脑轻薄本商务办公用 学生设计全能本,3293.87,广东,广州,600+,正品华硕电脑商城
2024新款Lenovo/联想拯救者Y9000P/Y7000P满血4060学生笔记本电脑,6178.00,江西,南昌,24,拯救者游戏本店
Dell/戴尔游匣G15 5530 13代酷睿i7RTX4060独显游戏电竞笔记本电脑15.6英寸学生设计制图,6193.87,江苏,南京,67,dell戴尔戴鑫专卖店
LGgram Ultra 2.5K LG原厂防眩光笔记本电脑商务办公轻薄本32G,10093.37,上海,未知,18,LG笔记本旗舰店
Lenovo/联想 拯救者 Y9000P 2022 Y/R9000P2023款设计游戏本电脑,6049.00,江西,南昌,1000+,拯救者LEGION游戏本商城
Lenovo/联想 拯救者 Y7000P I7游戏本R7000PR9000P学生笔记本电脑,2142.87,广东,深圳,100+,品牌笔记本特惠店
华硕天选5Pro 2024 天选4电竞游戏本RTX4060独显高性能笔记本电脑,7379.00,北京,未知,46,贝克汉虎 电竞商城
2024旗舰新品HP/惠普 spectre X360 可选英特尔Evo酷睿Ultra7 Arc,10399.00,广东,广州,68,惠普中国官方旗舰店
华硕天选4高性能满血游戏本笔记本电脑RTX4060显卡学生商务电竞本,4687.00,江西,南昌,36,锦诚笔记本商行
Lenovo/联想 拯救者 Y9000P/Y7000P2024款电竞游戏笔记本电脑,7147.00,山东,济南,100+,赵好人的店
【十四代i9】RazerBlade雷蛇灵刃16轻薄电竞游戏笔记本电脑DDR5内存RTX4090显卡固态2K屏240Hz高刷OLED屏幕,41052.00,江苏,苏州,5,雷蛇官方旗舰店
华硕ROG玩家国度2023款魔霸新锐13代酷睿4060独显游戏笔记本电脑,5299.00,江西,南昌,37,锦诚笔记本商行
官方店联想拯救者 Y7000P/R9000P/Y9000P可选 游戏笔记本电脑,8699.00,北京,未知,400+,联想直营官方店
Apple/苹果 MacBook Pro笔记本Air电脑办公手提剪辑设计游戏学习,994.87,江苏,苏州,1000+,MBook俱乐部数码
Huawei/华为 MateBook E PAK-AL09-22款23款平板二合一笔记本电脑,2099.00,上海,未知,500+,上海臣胜数码科技
