词语,频次
游戏,1388
办公,1300
轻薄,1121
商务,901
联想,788
便携,453
独显,341
电竞,335
手提,333
华硕,329
英特尔,305
华为,272
电脑包,250
惠普,248
苹果,238
Lenovo,217
HP,206
拯救,203
ThinkPad,202
超薄,198
大学生,192
大容量,191
Pro,190
戴尔,183
小新,178
学习,171
高性能,163
书包,159
机械,144
锐龙,142
天选,140
小米,137
RTX4060,126
Apple,124
平板,120
AI,113
革命,112
二合一,108
MacBook,108
Dell,104
ROG,97
满血,97
Air,95
超轻薄,94
MateBook,93
25K,91
鼠标,90
旅行,90
Asus,88
手提电脑,87
全新,85
标压,84
触屏,82
台式,82
宏碁,80
高端,79
休闲,78
精灵,78
家用,78
玩家,78
显卡,78
i5i7,77
无线,77
通勤,74
国度,74
绘图,73
暗影,72
Huawei,71
锐龙版,71
Acer,71
移动,66
网课,66
无畏,66
时尚,65
R7,65
双屏,64
免息,63
蛟龙,62
处理器,61
蓝牙,60
M2,59
神舟,58
大屏,57
Xiaomi,57
灵耀,56
荣耀,56
静音,55
战神,55
迷你,54
极光,54
有线,53
剪辑,52
翻转,50
官网,50
雷神,50
系列,49
触控,49
出差,49
芯片,49
四核,48
防水,47
微软,47
触摸屏,47
全能,47
键盘,47
二手,47
全面,46
灵越,45
高清,45
苏宁,45
Pro16,44
固态,44
硬盘,44
枪神,43
充电,43
Hasee,43
X1,43
光影,42
Ultra7,42
Y7000P,42
28K,42
R9000P,41
易购,41
红米,40
Pro14,40
建模,40
AMD,40
工作站,39
高色域,39
单肩,39
高配,39
爆款,39
M1,38
旷世,36
Y9000P,36
轻便,36
OLED,36
120Hz,35
Surface,35
配置,35
外星人,35
ThinkBook,34
魔霸,34
RedmiBook,34
Redmi,34
图形工作站,33
MECHREVO,33
I7,33
快充,32
高刷,32
